Dags,Konnun,Flokkur,Fylgi
31.01.2014,Capacent,Framsóknarflokkur,"18,3"
31.05.2004,Capacent,Samfylkingin,"32,9"
30.06.2004,Capacent,Samfylkingin,"33,6"
31.07.2004,Capacent,Samfylkingin,"32,3"
31.08.2004,Capacent,Samfylkingin,"31,9"
30.09.2004,Capacent,Samfylkingin,"30,2"
31.10.2004,Capacent,Samfylkingin,"31,6"
30.11.2004,Capacent,Samfylkingin,"31,2"
31.12.2004,Capacent,Samfylkingin,"30,2"
31.01.2005,Capacent,Samfylkingin,34
28.02.2005,Capacent,Samfylkingin,"32,5"
31.03.2005,Capacent,Samfylkingin,"28,7"
30.04.2005,Capacent,Samfylkingin,"31,6"
31.05.2005,Capacent,Samfylkingin,"33,9"
30.06.2005,Capacent,Samfylkingin,"33,3"
31.07.2005,Capacent,Samfylkingin,"32,2"
31.08.2005,Capacent,Samfylkingin,"29,6"
30.09.2005,Capacent,Samfylkingin,"28,7"
31.10.2005,Capacent,Samfylkingin,"27,8"
30.11.2005,Capacent,Samfylkingin,"25,5"
31.12.2005,Capacent,Samfylkingin,"27,4"
31.01.2006,Capacent,Samfylkingin,27
28.02.2006,Capacent,Samfylkingin,"29,3"
31.03.2006,Capacent,Samfylkingin,"31,4"
30.04.2006,Capacent,Samfylkingin,"29,8"
31.05.2006,Capacent,Samfylkingin,"29,2"
30.06.2006,Capacent,Samfylkingin,25
31.07.2006,Capacent,Samfylkingin,"24,6"
31.08.2006,Capacent,Samfylkingin,"25,2"
30.09.2006,Capacent,Samfylkingin,"26,6"
31.10.2006,Capacent,Samfylkingin,"25,1"
30.11.2006,Capacent,Samfylkingin,"24,7"
31.12.2006,Capacent,Samfylkingin,"23,9"
31.01.2007,Capacent,Samfylkingin,"22,2"
28.02.2007,Capacent,Samfylkingin,"22,5"
31.03.2007,Capacent,Samfylkingin,"20,5"
30.04.2007,Capacent,Samfylkingin,"20,8"
31.05.2007,Capacent,Samfylkingin,"26,5"
